exp_id,ID,Treatment,datetime,movement,PC
exp01,071,ctrl1,2021-03-09T04:30:00Z,288.58531274591394,A
exp01,071,ctrl1,2021-03-09T04:35:00Z,548.8937490795495,A
exp01,071,ctrl1,2021-03-09T04:40:00Z,249.62769982216133,A
exp01,071,ctrl1,2021-03-09T04:45:00Z,230.08668825020771,A
exp01,071,ctrl1,2021-03-09T04:50:00Z,468.3529402391284,A
exp01,071,ctrl1,2021-03-09T04:55:00Z,971.2477159421604,A
exp01,071,ctrl1,2021-03-09T05:00:00Z,3777.431551875052,A
exp01,071,ctrl1,2021-03-09T05:05:00Z,1860.7341415071944,A
exp01,071,ctrl1,2021-03-09T05:10:00Z,983.6523745815342,A
exp01,071,ctrl1,2021-03-09T05:15:00Z,447.532142160573,A
exp01,071,ctrl1,2021-03-09T05:20:00Z,182.75014969625352,A
exp01,071,ctrl1,2021-03-09T05:25:00Z,136.59854283802045,A
exp01,071,ctrl1,2021-03-09T05:30:00Z,495.00209600151675,A
exp01,071,ctrl1,2021-03-09T05:35:00Z,2055.9480176348,A
exp01,071,ctrl1,2021-03-09T05:40:00Z,1960.063672417191,A
exp01,071,ctrl1,2021-03-09T05:45:00Z,2357.661121051537,A
exp01,071,ctrl1,2021-03-09T05:50:00Z,2334.651156838292,A
exp01,071,ctrl1,2021-03-09T05:55:00Z,2868.9792662182876,A
exp01,071,ctrl1,2021-03-09T06:00:00Z,238.84078409251973,A
exp01,071,ctrl1,2021-03-09T06:05:00Z,488.73449853502274,A
exp01,071,ctrl1,2021-03-09T06:10:00Z,343.03551327645675,A
exp01,071,ctrl1,2021-03-09T06:15:00Z,310.16472584506937,A
exp01,071,ctrl1,2021-03-09T06:20:00Z,2376.464833963827,A
exp01,071,ctrl1,2021-03-09T06:25:00Z,9948.13069161583,A
exp01,071,ctrl1,2021-03-09T06:30:00Z,9610.346764538668,A
exp01,071,ctrl1,2021-03-09T06:35:00Z,4972.2816584334405,A
exp01,071,ctrl1,2021-03-09T06:40:00Z,11370.205810175688,A
exp01,071,ctrl1,2021-03-09T06:45:00Z,9867.087659747218,A
exp01,071,ctrl1,2021-03-09T06:50:00Z,5680.662585533687,A
exp01,071,ctrl1,2021-03-09T06:55:00Z,10362.27935664764,A
exp01,071,ctrl1,2021-03-08T16:49:00Z,3053.9461511161626,A
exp01,071,ctrl1,2021-03-08T16:54:00Z,1762.6776079850697,A
exp01,071,ctrl1,2021-03-08T16:59:00Z,1797.8138732055388,A
exp01,071,ctrl1,2021-03-08T17:04:00Z,4360.959796934005,A
exp01,071,ctrl1,2021-03-08T17:09:00Z,1056.1038955449833,A
exp01,071,ctrl1,2021-03-08T17:14:00Z,389.5498069309004,A
exp01,071,ctrl1,2021-03-08T17:19:00Z,268.6241314648792,A
exp01,071,ctrl1,2021-03-08T17:24:00Z,262.91299209062356,A
exp01,071,ctrl1,2021-03-08T17:29:00Z,317.7260746592946,A
exp01,071,ctrl1,2021-03-08T17:34:00Z,292.1396662028683,A
exp01,071,ctrl1,2021-03-08T17:39:00Z,284.4757276532526,A
exp01,071,ctrl1,2021-03-08T17:44:00Z,264.363350145251,A
exp01,071,ctrl1,2021-03-08T17:49:00Z,322.3619671459992,A
